SYMBOL,AVG_TTL_TRD_QNTY,AVG_DELIV_QTY
BALAMINES,54145.9,21747.7
BALAXI,264961.9,153034.7
BALCO,3600.0,3600.0
BALKRISHNA,19793.7,11182.2
BALKRISIND,493337.5,262328.5
BALMLAWRIE,260261.6,146316.8
BALPHARMA,11962.9,7659.4
BALRAMCHIN,214211.0,120844.8
BANARBEADS,5523.5,3190.5
BANARISUG,695.4,535.9
BANCOINDIA,189914.5,91523.0
BANDHANBNK,8551076.6,3533476.7
BANG,10010.7,6445.2
BANKA,33309.4,24764.6
BANKBARODA,6949646.2,2926736.2
BANKBEES,404075.8,254731.8
BANKBETF,21750.1,14862.9
BANKETF,4004.6,3364.6
BANKETFADD,11548.2,9218.8
BANKIETF,332990.9,283553.7
BANKINDIA,7957818.0,3387262.8
BANKNIFTY1,66592.2,53736.9
BANKPSU,12139.7,10159.3
BANSALWIRE,263924.7,131511.9
BANSWRAS,41012.6,25847.2
BARBEQUE,63106.6,35104.8
BARFLEX,22000.0,16000.0
BASF,31331.9,11178.7
BASILIC,11700.0,9600.0
BASML,137939.4,84276.5
BATAINDIA,92243.9,50152.8
BAWEJA,14400.0,8800.0
BAYERCROP,25470.6,15410.9
BBETF0432,4348.1,4069.7
BBL,62424.1,27954.7
BBNPNBETF,1534.8,566.1
BBNPPGOLD,1721.2,1244.9
BBTC,83660.5,27840.0
BBTCL,23693.0,6225.7
BCG,35844716.25,18212572.5
BCLIND,1983239.9,714821.7
BCONCEPTS,7673.7,5233.8
BDL,1517872.6,462779.8
BEACON,5000.0,5000.0
BEARDSELL,157163.2,49636.4
BECTORFOOD,88669.1,48000.2
BEDMUTHA,7865.7,5387.2
BEL,13740551.5,6699161.1
BELLACASA,10131.0,6492.78
BELRISE,14005816.3,4612014.2
BEML,342438.2,92547.8
BEPL,369381.9,177700.7
BERGEPAINT,362164.5,229660.3
BESTAGRO,151146.4,55313.1
BETA,7350.0,5040.0
BEWLTD,5000.0,4500.0
BFINVEST,19603.6,10183.2
BFSI,196634.1,150137.6
BFUTILITIE,51249.3,24342.6
BHAGCHEM,146805.7,91529.2
BHAGERIA,21640.6,11506.8
BHAGYANGR,754538.5,269347.5
BHANDARI,183655.1,118601.2
BHARATFORG,660588.9,322163.7
BHARATGEAR,78422.7,30329.9
BHARATRAS,3538.7,1422.4
BHARATWIRE,170306.4,84539.8
BHARTIARTL,4613322.9,3339980.2
BHARTIHEXA,128312.8,71218.0
BHEL,3301299.73,1184618.82
BIGBLOC,63235.9,40257.6
BIKAJI,366711.5,147354.6
BIL,20199.1,12027.8
BIOCON,3973397.0,1869660.0
BIRDYS,57600.0,56400.0
BIRET,218784.0,195997.0
BIRLACORPN,318243.3,152044.0
BIRLAMONEY,76630.1,40632.8
BIRLANU,8029.8,4958.4
BLACKBUCK,513177.0,308325.8
BLAL,58031.3,34033.1
BLBLIMITED,136577.4,51653.2
BLISSGVS,2209275.7,425768.7
BLKASHYAP,1037480.2,540025.3
BLS,1401992.6,653223.1
BLUEDART,15552.8,8129.5
BLUEJET,1551480.0,619107.8
BLUEPEBBLE,3600.0,2800.0
BLUESTARCO,473233.0,239839.2
BLUEWATER,14000.0,8000.0
BLUSPRING,2160060.0,536725.5
BMETRICS,11200.0,10400.0
BODALCHEM,400815.3,170183.0
BOHRAIND,74664.6,56495.4
BOMDYEING,15019903.0,1527482.9
BORANA,174535.7,68416.7
BOROLTD,80846.2,36827.6
BORORENEW,1708394.5,502116.8
BOROSCI,385904.7,88508.8
BOSCHLTD,40841.0,12589.5
BOSS,2000.0,2000.0
BPCL,5583734.4,3304419.1
BPL,54311.3,30080.9
BRACEPORT,1600.0,1600.0
BRIGADE,486814.7,315330.7
BRITANNIA,237938.8,160814.6
BRNL,397613.75,225977.75
BSE,3243544.5,790192.0
BSE500IETF,262566.0,164401.3
BSHSL,18497.1,9394.0
BSLGOLDETF,129246.9,95266.6
BSLNIFTY,224001.8,147198.8
BSLSENETFG,1164.5,756.3
BSOFT,1670658.5,617849.8
BTML,275402.4,178836.0
BULKCORP,133200.0,62400.0
BUTTERFLY,34736.6,21911.1
BVCL,203297.0,90385.8
C2C,34200.0,33600.0
CALSOFTPP,3659.0,3655.0
CAMPUS,408055.4,157423.3
CAMS,255840.4,108955.0
CANARYS,48000.0,36000.0
CANBK,34506969.8,14555637.3
CANFINHOME,221196.9,127880.8
CANTABIL,107823.6,43255.3
CAPACITE,371443.5,167816.2
CAPINVIT,88126.0,85256.0
CAPITALSFB,304659.9,160088.7
CAPLIPOINT,55210.2,26365.0
CARBORUNIV,155647.4,119157.3
CARERATING,54749.8,31388.5
CARRARO,138702.3,60335.6
CARTRADE,855742.2,225256.6
CARYSIL,106968.5,47368.4
CASHIETF,343383.4,285842.4
CASTROLIND,1828960.8,858692.8
CBAZAAR,16000.0,16000.0
CCCL,386389.4,255600.9
CCHHL,70851.9,39444.9
CCL,158857.5,66572.8
CDSL,2692935.1,774013.7
CEATLTD,240991.7,115602.7
CEDAAR,25000.0,25000.0
CEIGALL,274560.1,121717.1
CELEBRITY,125039.0,73703.1
CELLECOR,249000.0,204000.0
CELLO,94523.4,55881.3
CELLPOINT,4800.0,4800.0
CENTENKA,21867.6,11619.1
CENTEXT,327843.3,153272.2
CENTRALBK,6499508.5,2900376.2
CENTUM,10759.9,5618.1
CENTURYPLY,59804.1,33670.7
CERA,28235.7,12705.0
CESC,2279749.4,1036539.7
CEWATER,179385.4,53457.8
CGCL,4628077.4,1865199.9
CGPOWER,3469148.6,1538690.8
CGRAPHICS,30400.0,16800.0
CHALET,227416.4,108829.2
CHAMBLFERT,1396878.0,647926.7
CHAMUNDA,120000.0,117000.0
CHANDAN,36000.0,29600.0
CHAVDA,13000.0,8000.0
CHEMCON,224985.2,63532.8
CHEMFAB,10623.3,4607.9
CHEMPLASTS,154952.0,80334.6
CHENNPETRO,3217812.3,874259.4
CHETANA,4800.0,4800.0
CHEVIOT,2427.2,1668.1
CHOICEIN,953482.1,294717.9
CHOLAFIN,1496617.7,922451.0
CHOLAHLDNG,273695.7,177592.7
CIEINDIA,143420.4,90341.6
CIFL,429424.1,137016.2
CIGNITITEC,146548.2,71745.3
CINELINE,37228.2,26754.4
CIPLA,1988004.2,1038125.0
CLEAN,196022.2,80564.8
CLEDUCATE,31423.3,19058.8
CLSEL,88045.7,34424.3
CLSL,16000.0,10000.0
CMNL,85500.0,30000.0
CMRSL,4000.0,4000.0
CMSINFO,479327.9,310557.5
COALINDIA,4517375.7,2761661.5
COASTCORP,85466.4,53412.5
COCHINSHIP,957625.2,334823.1
COFFEEDAY,2820366.0,1123728.0
COFORGE,2900773.5,1370495.5
COHANCE,163285.7,112635.7
COLPAL,937317.9,564831.7
COMMITTED,2400.0,1600.0
COMMOIETF,36891.9,26561.9
COMPUSOFT,48916.4,22805.6
COMSYN,228963.9,80883.7
CONCOR,675962.6,344794.5
CONCORDBIO,161614.9,74870.0
CONFIPET,431447.7,212437.6
CONS,2413.9,2186.2
CONSOFINVT,5558.9,3368.5
