SYMBOL,AVG_DELIV_QTY,NEW_DELIV_QTY,PCT_DEVIATION
EQUAL50,261.4,87,-66.72
EQUAL50ADD,3305.3,650,-80.33
ESG,18545.8,3726,-79.91
ETERNAL,24778486.9,58296548,135.27
EUREKAFORB,83395.56,138765,66.39
EUROTEXIND,2200.33,318,-85.55
EVEREADY,203280.67,507516,149.66
EVINDIA,178949.56,81262,-54.59
EXCELINDUS,9079.22,4034,-55.57
FACT,89437.44,209042,133.73
FAIRCHEMOR,3729.0,1506,-59.61
FCL,123457.67,58541,-52.58
FDC,57329.89,26800,-53.25
FEDERALBNK,2899311.67,4367107,50.63
FEDFINA,503697.78,160622,-68.11
FIBERWEB,60722.56,26906,-55.69
FINIETF,481749.67,175245,-63.62
FINOPB,194463.0,59561,-69.37
FIVESTAR,305387.56,103887,-65.98
FLAIR,183688.11,47373,-74.21
FMGOETZE,38103.56,81252,113.24
FORCEMOT,29828.11,194968,553.64
GABRIEL,299925.0,80891,-73.03
GALAPREC,16414.89,5100,-68.93
GALAXYSURF,6734.0,17318,157.17
GANESHBE,100097.89,262862,162.6
GANGAFORGE,216856.67,74285,-65.74
GARFIBRES,53482.89,13268,-75.19
GEECEE,2148.56,1016,-52.71
GENESYS,111207.78,54075,-51.37
GEOJITFSL,513585.89,136826,-73.36
GFLLIMITED,23568.78,104120,341.77
GICHSGFIN,139195.78,65980,-52.6
GICRE,421648.11,139965,-66.81
GLAND,483433.44,101178,-79.07
GLENMARK,1342456.11,393317,-70.7
GLOBALVECT,11145.0,18064,62.08
GLOBE,476023.67,945006,98.52
GLOBUSSPR,87460.0,280489,220.71
GLOSTERLTD,1385.44,3279,136.68
GMBREW,19616.11,7980,-59.32
GOCOLORS,78651.44,15615,-80.15
GODFRYPHLP,64469.78,99343,54.09
GODIGIT,701840.22,132250,-81.16
GODREJAGRO,140182.11,808460,476.72
GODREJIND,55596.0,20477,-63.17
GOLD360,9476.22,3015,-68.18
GOLDCASE,1162134.56,2781329,139.33
