SYMBOL,AVG_TTL_TRD_QNTY,NEW_TTL_TRD_QNTY,PCT_DEVIATION
EUROTEXIND,3804.56,1010,-73.45
EVIETF,68013.11,26013,-61.75
EXCELINDUS,19625.56,30613,55.99
FACT,421970.44,168316,-60.11
FAIRCHEMOR,6192.11,31587,410.12
FAZE3Q,80184.44,401690,400.96
FIBERWEB,67951.33,22781,-66.47
FLAIR,419091.22,144879,-65.43
FORCEMOT,358178.67,78609,-78.05
FSL,848764.89,3226442,280.13
GALAPREC,22409.0,9513,-57.55
GALAXYSURF,16388.56,27474,67.64
GANDHAR,126049.56,209394,66.12
GANESHBE,184666.78,62014,-66.42
GANESHHOUC,123117.56,55115,-55.23
GANGAFORGE,292093.44,127116,-56.48
GANGESSECU,2268.67,497,-78.09
GARUDA,7639379.44,1911200,-74.98
GEECEE,4240.67,1985,-53.19
GEPIL,177726.22,336061,89.09
GHCL,171722.56,381063,121.91
GICRE,682335.67,2141966,213.92
GILLETTE,26950.67,162247,502.01
GILT5YBEES,260835.89,129059,-50.52
GKWLIMITED,340.11,75681,22151.92
GLAND,439301.11,693215,57.8
GLOBALVECT,42957.0,12567,-70.75
GLOBECIVIL,2143881.33,503739,-76.5
GMDCLTD,7310991.78,1689462,-76.89
GMMPFAUDLR,45762.22,253541,454.04
GMRP&UI,1088966.22,2511269,130.61
GOACARBON,16815.0,281612,1574.77
GOCLCORP,89836.89,29298,-67.39
GOCOLORS,102471.44,22704,-77.84
GODIGIT,2165792.0,907131,-58.12
GODREJCP,869179.67,1600452,84.13
GOKEX,146639.67,1176563,702.35
GOLD360,7949.33,2176,-72.63
GOLDIAM,497721.44,1136063,128.25
GOLDSHARE,344727.22,942153,173.3
GOLDTECH,40392.11,205682,409.21
GPPL,1711357.11,547600,-68.0
GPTHEALTH,280253.33,492267,75.65
GPTINFRA,611771.78,107131,-82.49
GRAPHITE,593244.44,6580600,1009.26
GRAVITA,542434.44,175803,-67.59
GREAVESCOT,2844665.33,55328752,1845.0
GREENLAM,71236.0,31221,-56.17
GRINFRA,32543.11,10145,-68.83
GRMOVER,627776.67,308259,-50.9
GROWWLIQID,150537.44,45371,-69.86
GROWWMOM50,195631.44,316662,61.87
GROWWNET,1519098.56,262342,-82.73
