SYMBOL, SERIES, DATE1, PREV_CLOSE, OPEN_PRICE, HIGH_PRICE, LOW_PRICE, LAST_PRICE, CLOSE_PRICE, AVG_PRICE, TTL_TRD_QNTY, TURNOVER_LACS, NO_OF_TRADES, DELIV_QTY, DELIV_PER
COLPAL, EQ, 23-Jul-2025,2379.5,2350.0,2359.1,2271.0,2286.0,2285.3,2297.2,2151512.0,49424.53,120090.0, 1155584, 53.71
COMMOIETF, EQ, 23-Jul-2025,90.21,90.22,90.68,89.98,90.29,90.47,90.36,69000.0,62.35,792.0, 50405, 73.05
COMPUSOFT, EQ, 23-Jul-2025,21.83,22.5,22.5,21.7,21.7,21.8,21.92,55130.0,12.09,775.0, 27234, 49.40
COMSYN, EQ, 23-Jul-2025,129.53,129.0,130.8,127.25,127.83,128.58,129.2,61497.0,79.46,929.0, 23622, 38.41
CONCOR, EQ, 23-Jul-2025,607.5,609.0,611.4,603.75,609.65,609.35,607.84,516705.0,3140.76,17582.0, 231315, 44.77
CONCORDBIO, EQ, 23-Jul-2025,1894.5,1889.8,1953.6,1870.1,1952.7,1943.9,1926.43,151465.0,2917.86,17806.0, 70538, 46.57
CONFIPET, EQ, 23-Jul-2025,53.98,54.05,54.47,53.48,54.3,54.15,53.86,317549.0,171.04,2286.0, 129553, 40.80
CONS, EQ, 23-Jul-2025,120.28,120.84,121.0,120.29,120.72,120.66,120.86,1693.0,2.05,33.0, 1355, 80.04
CONSOFINVT, EQ, 23-Jul-2025,200.44,203.95,203.95,199.0,199.0,199.12,200.52,3955.0,7.93,250.0, 2262, 57.19
CONSUMBEES, EQ, 23-Jul-2025,131.01,131.14,131.37,130.72,131.1,131.08,130.93,85635.0,112.12,883.0, 76096, 88.86
CONSUMER, EQ, 23-Jul-2025,11.84,11.89,11.89,11.81,11.87,11.86,11.82,64190.0,7.59,154.0, 57256, 89.20
CONSUMIETF, EQ, 23-Jul-2025,121.66,122.45,122.45,121.5,121.9,121.76,121.72,15734.0,19.15,233.0, 10929, 69.46
CONTROLPR, EQ, 23-Jul-2025,755.45,755.45,768.9,735.0,751.25,753.85,750.94,77981.0,585.59,5532.0, 35966, 46.12
CORALFINAC, EQ, 23-Jul-2025,44.75,45.63,52.49,44.51,50.0,50.12,49.8,606706.0,302.16,5102.0, 210639, 34.72
CORDSCABLE, EQ, 23-Jul-2025,205.69,208.9,208.9,205.2,206.9,206.62,206.03,24992.0,51.49,871.0, 16493, 65.99
COROMANDEL, EQ, 23-Jul-2025,2354.1,2367.0,2370.0,2311.7,2326.0,2331.2,2330.21,205589.0,4790.65,25902.0, 141779, 68.96
COSMOFIRST, EQ, 23-Jul-2025,1114.7,1115.0,1121.4,1098.0,1099.0,1100.5,1103.39,59224.0,653.47,2753.0, 41991, 70.90
CPCAP, EQ, 23-Jul-2025,170.09,170.95,171.01,168.02,168.12,168.84,169.49,2477.0,4.2,525.0, 579, 23.38
CPSEETF, EQ, 23-Jul-2025,93.33,93.26,95.0,90.53,93.55,93.47,93.38,888035.0,829.28,5678.0, 639917, 72.06
CRAFTSMAN, EQ, 23-Jul-2025,6555.5,6575.0,6619.5,6370.0,6405.0,6405.5,6444.02,32889.0,2119.37,6299.0, 18219, 55.40
CREATIVE, EQ, 23-Jul-2025,659.25,663.0,663.3,650.0,650.65,654.55,653.57,7996.0,52.26,564.0, 5368, 67.13
CREDITACC, EQ, 23-Jul-2025,1279.7,1261.0,1374.5,1253.4,1349.0,1354.9,1345.77,6124371.0,82420.22,200812.0, 724360, 11.83
CREST, EQ, 23-Jul-2025,385.4,385.0,389.95,383.65,385.0,385.05,386.14,5748.0,22.2,329.0, 4089, 71.14
CRISIL, EQ, 23-Jul-2025,5785.0,5804.5,5875.0,5709.5,5846.5,5860.5,5807.39,37918.0,2202.05,9246.0, 14980, 39.51
CRIZAC, EQ, 23-Jul-2025,331.56,333.0,344.14,330.0,343.41,341.15,336.93,4369057.0,14720.85,56807.0, 1138499, 26.06
CROMPTON, EQ, 23-Jul-2025,335.95,336.95,343.0,334.85,339.85,340.0,338.71,2419048.0,8193.45,30364.0, 1402529, 57.98
CROWN, EQ, 23-Jul-2025,166.03,166.03,167.25,162.21,165.5,165.09,165.2,19343.0,31.95,879.0, 11321, 58.53
CSBBANK, EQ, 23-Jul-2025,425.2,424.65,433.1,419.85,428.0,428.8,427.03,262074.0,1119.13,15364.0, 129454, 49.40
CSLFINANCE, EQ, 23-Jul-2025,322.75,327.6,329.0,321.25,329.0,327.25,324.57,5413.0,17.57,420.0, 3845, 71.03
CUB, EQ, 23-Jul-2025,211.32,211.32,214.7,209.13,214.19,213.99,212.27,742553.0,1576.2,24834.0, 400134, 53.89
CUMMINSIND, EQ, 23-Jul-2025,3587.4,3588.4,3625.1,3548.1,3605.0,3616.4,3603.23,630663.0,22724.23,51588.0, 447861, 71.01
